TimeStep,Time,Points:0,Points:1,Points:2,Raw Length,Raw Speed,Raw Length:0,Raw Velocity:0,Raw Length:1,Raw Velocity:1,Smoothed:0,Smoothed:1,Smoothed Length,Smoothed Speed,Smoothed Length:0,Smoothed Velocity:0,Smoothed Length:1,Smoothed Velocity:1
10,0.0025,2.5,0.12533,0,0.5520243562022638,1500.0000021333317,0.5,1499.9999999999986,0.12536999999999998,0.07999999999996892,2.4664864801866275,0.11860475524476227,0.638442908127987,1079.0220907140683,0.5881440559442086,1069.8741258741888,0.18340363053613704,140.20708624709465
11,0.00275,2.875,0.12528,0,0.9270243595355971,1500.000013333335,0.875,1500.0000000000014,0.12541999999999998,0.19999999999997814,2.8091158508160183,0.13612587412588226,0.9815199770567319,1372.3082757149807,0.9307734265735994,1370.5174825175643,0.20092474941725702,70.08447552448
12,0.003,3.1249,0.12534,0,1.176924366738478,999.6000288115221,1.1248999999999998,999.5999999999983,0.12547999999999998,0.24000000000001775,3.1587328671330552,0.13320923076923877,1.3311491590580304,1398.516728005193,1.2803904428906363,1398.4680652681463,0.2038413927739005,11.666573426573946
13,0.00325,3.4999,0.12532,0,1.5519243672718113,1500.0000021333349,1.4998999999999998,1500.0000000000014,0.1255,0.08000000000008008,3.506315617715827,0.12006041958042674,1.678980525870117,1391.3254672483472,1.6279731934734079,1390.3310023310873,0.21699020396271254,52.595244755248174
14,0.0035,3.8749,0.12531,0,1.9269243674051446,1500.000000533332,1.8748999999999998,1499.9999999999986,0.12550999999999998,0.03999999999992895,3.8708121212123516,0.1253102564102639,2.0435148340606246,1458.1372327620295,1.9924696969699327,1457.986013986098,0.2222400407925497,20.999347319348587
15,0.00375,4.2499,0.1253,0,2.3019243675384784,1500.0000005333363,2.2499000000000002,1500.000000000003,0.12552,0.04000000000004004,4.288937995338251,0.12527855477856226,2.4616407093883073,1672.503501310732,2.410595571095832,1672.5034965035977,0.22227174242425132,0.12680652680652227
16,0.004,4.7499,0.12522,0,2.8019243739384785,2000.0000255999985,2.7499000000000002,1999.9999999999982,0.1256,0.3199999999999867,4.705615151515433,0.12524804195804942,2.8783178666827,1666.7086291775688,2.827272727273014,1666.7086247087275,0.22230225524476416,0.12205128205133853
17,0.00425,5.1249,0.12523,0,3.176924374071812,1500.000000533332,3.1249000000000002,1499.9999999999986,0.12561,0.04000000000003997,5.107413286713591,0.12523407925408672,3.2801160021234637,1607.192541763054,3.229070862471172,1607.19254079263,0.22231621794872686,0.055850815850799714
18,0.0045,5.4999,0.12522,0,3.551924374205145,1500.0000005333372,3.4999000000000002,1500.0000000000039,0.12562,0.04000000000004011,5.517388811189141,0.12521818181818928,3.6900915269072376,1639.9020991351001,3.6390463869467222,1639.9020979022055,0.2223321153846243,0.06358974358977604
19,0.00475,5.8749,0.12524,0,3.9269243747384786,1500.0000021333321,3.8749000000000002,1499.9999999999986,0.12564,0.07999999999996892,5.924442424242779,0.12520783216783965,4.097145140092449,1628.214452740844,4.04610000000036,1628.2144522145486,0.22234246503497393,0.041398601398512334
